timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,4.29,-0.2326,1482744371.0,6360973351.589998,3.95,-88630579.71000195,-110684956.41000462,25552556.36999798
2022-03-18,4.3,0.939,1499907891.0,6449603931.3,3.99,157925864.460001,-210471712.97999954,-16036082.399999619
2022-03-17,4.26,0.2353,1476919734.0,6291678066.839998,3.93,49140001.339998245,-243700301.289999,-409545263.7600002
2022-03-16,4.25,3.1553,1468832486.0,6242538065.5,3.91,201489815.8600006,147436025.6600008,-431312410.0300007
2022-03-15,4.12,-5.5046,1466273847.0,6041048249.639999,3.9,-430610058.3600025,-82744461.23999977,-643294913.460002
2022-03-14,4.36,-1.8018,1484325300.0,6471658308.000002,3.95,-188417336.27999687,136237512.78000164,-179845151.39999962
2022-03-11,4.44,1.139,1500017037.0,6660075644.279999,3.99,124697276.15000057,194435630.57999897,-172321812.3400011
2022-03-10,4.39,3.5377,1488696667.0,6535378368.129998,3.96,440276328.289999,-165844962.47000122,-281088182.6600027
2022-03-09,4.24,-1.8519,1437524066.0,6095102039.839999,3.83,-28690671.03999996,-578748435.6900015,-890588062.4100018
2022-03-08,4.32,-4.2129,1417544609.0,6123792710.879999,3.77,-211628084.3400011,-560550452.2200022,-819427051.499999
2022-03-07,4.51,-3.0108,1404749622.0,6335420795.22,3.74,-130219218.47999954,-316082664.18000126,-754349805.4200001
2022-03-04,4.65,-1.0638,1390460218.0,6465640013.7,3.7,-235583316.89999962,-366757442.9200001,-155115615.15000153
2022-03-03,4.7,0.2132,1425792198.0,6701223330.599999,3.8,27372855.06999874,-115243220.19000149,110294203.7899971
2022-03-02,4.69,-0.2128,1422995837.0,6673850475.530001,3.79,-10492687.570000648,-311839626.72000027,49086289.38000107
2022-03-01,4.7,0.0,1422200673.0,6684343163.100001,3.79,32839703.69999981,-258876599.27999687,61360296.42000198
2022-02-28,4.7,-1.8789,1415213502.0,6651503459.400002,3.77,-180893997.21999836,-438267141.2399988,-11303673.209997177
2022-02-25,4.79,0.4193,1426387778.0,6832397456.62,3.8,15930905.82999897,211641827.76999855,-38264733.380000114
2022-02-24,4.77,-2.8513,1429028627.0,6816466550.790001,3.8,-169223551.46000004,225537423.9799986,-39687184.209999084
2022-02-23,4.91,0.409,1422747475.0,6985690102.250001,3.79,42470339.87000275,360925916.10000134,134823678.17000103
2022-02-22,4.89,-1.4113,1419881342.0,6943219762.379998,3.78,-146550838.26000214,320236895.69999886,104350366.31999779
2022-02-21,4.96,1.0183,1429389234.0,7089770600.64,3.81,469014971.789999,426963468.03000164,376409187.28999996
