timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,30.5,0.0985,51538382.0,1571920651.0,2.75,-29012394.359999895,-8978792.19999981,-156421182.65000033
2022-03-18,30.47,0.1644,52541288.0,1600933045.36,2.8,422983.30000019073,-33677490.589999676,-223638638.79999995
2022-03-17,30.42,4.2852,52613743.0,1600510062.0600002,2.81,80314257.75,-13141279.8799994,-172208076.82000017
2022-03-16,29.17,4.8903,52115043.0,1520195804.3100002,2.78,41360342.7900002,-106132523.68999982,-330750024.93000007
2022-03-15,27.81,-5.5367,53176392.0,1478835461.52,2.84,-102063981.68000007,-173120587.82000017,-409860076.0799999
2022-03-14,29.44,-3.3169,53699030.0,1580899443.2,2.87,-53711092.74999976,-147442390.45000005,-302416823.9000001
2022-03-11,30.45,-0.4251,53681791.0,1634610535.9499998,2.86,20959194.009999752,-189961148.21000051,-265431115.16000032
2022-03-10,30.58,0.0654,52768193.0,1613651341.94,2.82,-12676986.059999943,-159066796.94000006,-195025157.46000004
2022-03-09,30.56,-2.7371,53217550.0,1626328328.0,2.84,-25627721.340000153,-224617501.24000025,-266966961.03999996
2022-03-08,31.42,-3.4122,52576577.0,1651956049.3400002,2.81,-76385784.30999994,-236739488.25999975,-183657865.20000005
2022-03-07,32.53,-3.8143,53130705.0,1728341833.65,2.84,-96229850.51000023,-154974433.45000005,-103731752.76999998
2022-03-04,33.82,1.6226,53949488.0,1824571684.1600003,2.88,51853545.28000021,-75469966.94999981,-40116606.039999485
2022-03-03,33.28,-2.3188,53266771.0,1772718138.88,2.84,-78227690.36000013,-35958360.51999998,-79110503.71999979
2022-03-02,34.07,-0.0293,54327732.0,1850945829.2400002,2.9,-37749708.35999966,-42349459.799999714,-18660535.289999485
2022-03-01,34.08,-0.1465,55419470.0,1888695537.6,2.96,5379270.499999762,53081623.059999704,3009910.760000229
2022-02-28,34.13,-0.4085,55180670.0,1883316267.1000001,2.94,-16725384.00999999,51242680.68000007,10732438.350000143
2022-02-25,34.27,2.6048,55443293.0,1900041651.1100001,2.96,91365151.71000004,35353360.910000324,78911769.11000037
2022-02-24,33.4,-5.2213,54151991.0,1808676499.4,2.89,-84618789.63999987,-43152143.19999981,-52847684.400000095
2022-02-23,35.24,2.4716,53725746.0,1893295289.04,2.87,57681374.49999976,23688924.51000023,9326203.94999981
2022-02-22,34.39,-5.7033,53376386.0,1835613914.5400002,2.85,3540328.120000124,-50071712.299999475,-53777815.10999942
2022-02-21,36.47,-1.1653,50235086.0,1832073586.42,2.68,-32614703.779999733,-40510242.32999992,-71652307.17999983
