timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,10.1,-0.9804,404063061.0,4081036916.0999994,2.04,-28019099.69999981,22626401.69999981,-375366783.00000095
2022-03-18,10.2,0.8902,402848629.0,4109056015.799999,2.04,129482162.6699996,28868986.959999084,-566930276.420001
2022-03-17,10.11,2.2245,393627483.0,3979573853.129999,1.99,162553651.74999857,-216720552.42000103,-716603820.4700012
2022-03-16,9.89,1.4359,385947442.0,3817020201.3800006,1.95,-1336262.6199994087,-409148623.41999865,-851250563.3200002
2022-03-15,9.75,-4.224,391626304.0,3818356464.0,1.98,-240054050.4000001,-430486723.8000002,-828933016.1099997
2022-03-14,10.18,-0.9728,398665080.0,4058410514.4,2.01,-21776514.440000057,-397993184.7000003,-561343083.8299994
2022-03-11,10.28,-0.6763,396905353.0,4080187028.84,2.01,-116107376.71000004,-595799263.3800011,-617064411.1599998
2022-03-10,10.35,-0.4808,405439073.0,4196294405.55,2.05,-29874419.249999046,-499883268.0500002,-450051096.8499994
2022-03-09,10.4,-1.8868,406362387.0,4226168824.799999,2.05,-22674363.000000954,-442101939.9000015,-478637485.32000065
2022-03-08,10.6,-2.0333,400834263.0,4248843187.8,2.02,-207560511.3000002,-398446292.30999947,-367976077.85999966
2022-03-07,10.82,-2.8725,411867255.0,4456403699.1,2.08,-219582593.12000084,-163349899.12999916,-251258460.29999924
2022-03-04,11.14,-0.5357,419747423.0,4675986292.220001,2.12,-20191381.37999916,-21265147.77999878,27564685.48000145
2022-03-03,11.2,-0.0892,419301578.0,4696177673.6,2.12,27906908.89999962,49832171.20000076,91486107.35000038
2022-03-02,11.21,0.3581,416438070.0,4668270764.700001,2.1,20981284.590001106,-36535545.41999912,50833993.20000076
2022-03-01,11.17,0.0,416050983.0,4647289480.11,2.1,27535881.880000114,30470214.44999981,53342085.67000008
2022-02-28,11.17,-0.2679,413585819.0,4619753598.23,2.09,-77497841.77000046,-87908561.17000008,-8787203.890000343
2022-02-25,11.2,0.0,419397450.0,4697251440.0,2.12,50905937.60000038,48829833.26000023,-952080.2299995422
2022-02-24,11.2,-1.2346,414852277.0,4646345502.4,2.1,-58460807.72000027,41653936.14999962,-77214698.82000065
2022-02-23,11.34,0.6211,414885918.0,4704806310.12,2.1,87987044.46000004,87369538.61999989,36690790.269999504
2022-02-22,11.27,-1.1404,409655658.0,4616819265.66,2.07,-90842893.73999977,22871871.220000267,-37796915.69999981
2022-02-21,11.4,0.9743,412952821.0,4707662159.4,2.09,59240552.65999985,79121357.27999973,84745678.91999912
