timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,234.9,-0.2548,85878635.0,20172891361.499996,9.62,61725004.499996185,-416576155.23000336,-1330453442.1000023
2022-03-18,235.5,-4.8639,85397734.0,20111166357.0,9.56,-1084202316.1000023,-1024073795.4099998,-2446893725.950001
2022-03-17,247.54,5.5518,85624015.0,21195368673.099995,9.59,1028852926.5799942,-532668408.5600052,-2722824277.8200035
2022-03-16,234.52,5.1659,85990601.0,20166515746.519997,9.63,264627195.51999664,-685508089.4900017,-4528014687.400005
2022-03-15,223.0,-0.1299,89246137.0,19901888551.0,10.0,-687578965.7299957,-661623429.5,-5944278590.0
2022-03-14,223.29,-0.685,92209537.0,20589467516.729996,10.33,-545772635.6800079,-913877286.8700027,-5807757363.270004
2022-03-11,224.83,-2.2436,94005427.0,21135240152.410004,10.53,-592796929.2499962,-1422819930.5399933,-5531807859.589996
2022-03-10,229.99,5.4178,94473834.0,21728037081.66,10.58,876013245.6500015,-2190155869.260002,-4135615129.59
2022-03-09,218.17,3.1537,95576953.0,20852023836.01,10.71,288511855.5099983,-3842506597.9100037,-5171224889.930004
2022-03-08,211.5,-2.1015,97227007.0,20563511980.5,10.89,-939832823.0999985,-5282655160.5,-4684975185.540001
2022-03-07,216.04,-4.2673,99534090.0,21503344803.6,11.15,-1054715279.3499985,-4893880076.400002,-3476460383.0
2022-03-04,225.67,-4.4662,99960385.0,22558060082.949997,11.2,-1360132867.970005,-4108987929.050003,-2819404643.3499985
2022-03-03,236.22,-2.1134,101253886.0,23918192950.920002,11.34,-776337483.0,-1945459260.329998,-1317111373.800003
2022-03-02,241.32,-4.4656,102331056.0,24694530433.920002,11.46,-1151636707.079998,-1328718292.0200005,-108037210.48000717
2022-03-01,252.6,-2.8462,102320535.0,25846167141.0,11.46,-551057739.0,597679974.9599991,1350227761.0
2022-02-28,260.0,-0.7634,101527788.0,26397224880.0,11.37,-269823132.0,1417419693.4000015,3182145074.880001
2022-02-25,262.0,3.2512,101782626.0,26667048012.0,11.4,803395800.75,1289583285.7000046,3383071157.8199997
2022-02-24,253.75,-0.0906,101925723.0,25863652211.25,11.42,-159596514.69000244,628347886.529995,2207357331.75
2022-02-23,253.98,3.2691,102461803.0,26023248725.940002,11.48,774761559.9000015,1220681081.5399933,1040961573.9400024
2022-02-22,245.94,-0.0406,102661166.0,25248487166.04,11.5,268681979.44000244,752547786.0400009,-113817414.36000443
2022-02-21,246.04,-1.6587,101527415.0,24979805186.6,11.37,-397659539.69999695,1764725381.4799995,-2340564357.829994
