timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,6.12,-1.4493,145657625.0,891424664.9999999,1.95,-22937039.100000143,-36584535.18000007,-30978827.919999957
2022-03-18,6.21,0.3231,147240210.0,914361704.1,1.97,2115325.6300002337,-30058399.799999833,-56091637.79999995
2022-03-17,6.19,3.5117,147374213.0,912246378.4700001,1.97,29428899.2900002,2298350.9000000954,-74231572.03000009
2022-03-16,5.98,3.8194,147628341.0,882817479.1800003,1.98,39905184.78000021,-3724461.499999881,-116540699.21999967
2022-03-15,5.76,-6.7961,146338940.0,842912294.4000001,1.96,-85096905.77999997,-47057254.94999981,-176247264.41999996
2022-03-14,6.18,-1.9048,150163301.0,928009200.1800001,2.01,-16410903.71999991,5605707.26000011,-50827082.579999685
2022-03-11,6.3,2.107,149907953.0,944420103.9,2.01,34472076.32999992,-26033238.00000012,-15131019.190000057
2022-03-10,6.17,2.1523,147479421.0,909948027.57,1.97,23406086.889999866,-76529922.92999995,-29886531.389999986
2022-03-09,6.04,-0.821,146778467.0,886541940.6800002,1.96,-3427608.6699997187,-112816237.71999979,-74252451.47999978
2022-03-08,6.09,-4.3956,146136215.0,889969549.3499999,1.96,-32433943.570000052,-129190009.47000015,-53931864.25
2022-03-07,6.37,-4.3544,144804316.0,922403492.92,1.94,-48049848.98000014,-56432789.839999795,-125729633.4799999
2022-03-04,6.66,-0.597,145713715.0,970453341.9000001,1.95,-16024608.599999905,10902218.810000062,-75577776.11999989
2022-03-03,6.7,-1.4706,147235515.0,986477950.5,1.97,-12880227.899999976,46643391.53999996,-31057968.80000019
2022-03-02,6.8,0.295,146964438.0,999358178.4,1.97,-19801380.420000076,38563786.24000001,-57341344.20000005
2022-03-01,6.78,4.1475,150318519.0,1019159558.82,2.01,40323276.0600003,75258145.22000015,-49446767.93999994
2022-02-28,6.51,0.6182,150358876.0,978836282.7599998,2.01,19285159.66999972,-69296843.6400001,-102595410.66000032
2022-02-25,6.47,0.936,148307747.0,959551123.09,1.99,19716564.129999995,-86479994.92999995,-126898742.18999994
2022-02-24,6.41,-5.3176,146620056.0,939834558.96,1.96,-20959833.19999993,-77701360.34000015,-182439260.07999992
2022-02-23,6.77,1.0448,141919408.0,960794392.16,1.9,16892978.560000062,-95905130.44000006,-151764744.5200001
2022-02-22,6.7,-5.6338,140880808.0,943901413.5999999,1.89,-104231712.79999995,-124704913.16000009,-137799351.47000003
2022-02-21,7.1,1.5737,147624384.0,1048133126.3999999,1.98,2102008.379999876,-33298567.02000022,-48274442.85000014
