timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,15.83,5.1129,159978543.0,2532460335.69,11.16,112974078.20999956,64820795.130000114,-266066379.2699995
2022-03-18,15.06,-1.6329,160656458.0,2419486257.4800005,11.21,-48080930.80999994,-156456318.5199995,-431149118.94000006
2022-03-17,15.31,4.3626,161173559.0,2467567188.2900004,11.25,129215618.83999968,-143866768.25999928,-444414313.2100005
2022-03-16,14.67,3.8217,159396835.0,2338351569.45,11.12,92977290.44999933,-321511214.5500002,-514309386.230001
2022-03-15,14.13,-8.4251,158908300.0,2245374279.0000005,11.09,-222265261.55999947,-390024554.75999975,-624712686.1999993
2022-03-14,15.43,-3.5625,159924792.0,2467639540.56,11.16,-108303035.44000006,-330887174.3999996,-328291951.19999933
2022-03-11,16.0,-0.9288,160996411.0,2575942576.0,11.24,-35491380.55000019,-274692800.42000055,-237754918.57999945
2022-03-10,16.15,0.9375,161698697.0,2611433956.55,11.28,-48428827.44999981,-300547544.9500003,-156027869.0499997
2022-03-09,16.0,-0.9901,166241424.0,2659862784.0,11.6,24463950.23999977,-192798171.68000078,-141153096.0
2022-03-08,16.16,-7.8677,163081611.0,2635398833.76,11.38,-163127881.19999933,-234688131.43999958,-128241461.88000059
2022-03-07,17.54,-2.2297,159551124.0,2798526714.9599996,11.13,-52108661.46000099,2595223.200000286,-27332169.240000725
2022-03-04,17.94,-2.2343,158898293.0,2850635376.4200006,11.09,-61346125.07999992,36937881.840001106,41314843.94000006
2022-03-03,18.35,1.8878,158691090.0,2911981501.5000005,11.07,59320545.819999695,144519675.90000057,105522641.74000025
2022-03-02,18.01,-1.044,158393168.0,2852660955.680001,11.05,-17426009.519999027,51645075.68000078,45177445.940000534
2022-03-01,18.2,1.9037,157697086.0,2870086965.2,11.01,74155473.44000053,106446669.55999899,135465422.1199999
2022-02-28,17.86,0.0,156547116.0,2795931491.7599993,10.92,-17766002.82000017,-29927392.44000101,68842969.25999928
2022-02-25,17.86,1.1898,157541853.0,2813697494.5799994,10.99,46235668.97999954,4376962.099998951,63710873.22000027
2022-02-24,17.65,-0.1697,156796704.0,2767461825.6,10.94,-33554054.400000095,-38997034.160000324,-5121739.829999924
2022-02-23,17.68,0.2268,158428500.0,2801015880.0,11.06,37375584.35999918,-6467629.740000248,127544599.6800003
2022-02-22,17.64,-1.891,156668951.0,2763640295.640001,10.93,-62218588.559999466,29018752.560000896,18236779.020000935
2022-02-21,17.98,0.3348,157166790.0,2825858884.2000003,10.97,16538351.71999979,98770361.70000029,169671657.0
