timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,19.46,9.9435,6158084.0,119836314.64,0.64,-2521926.8599999994,-4701994.709999993,-4701994.709999993
2022-03-18,17.7,-4.5307,6912895.0,122358241.5,0.72,6934041.599999994,-2180067.849999994,-2180067.849999994
2022-03-17,18.54,10.0297,6225685.0,115424199.9,0.64,27888534.150000006,-9114109.449999988,-9114109.449999988
2022-03-16,16.85,9.9869,5194995.0,87535665.75,0.54,-10733095.450000003,22194903.630000003,34254450.57
2022-03-15,15.32,9.9785,6414410.0,98268761.2,0.66,-26269548.14999999,46573602.07000001,45004222.16
2022-03-14,13.93,10.0316,8940295.0,124538309.35,0.93,9613715.829999983,68309385.82,65314075.19
2022-02-25,12.66,9.9913,9077772.0,114924593.52000001,0.94,-6095241.189999983,62754883.290000014,45779249.42000002
2022-02-24,11.51,3.1362,10514321.0,121019834.71,1.09,55679072.589999996,70844668.33999999,49859915.00999999
2022-02-23,11.16,5.3824,5854907.0,65340762.12,0.6,13645602.990000002,12059546.939999998,-3248876.839999996
2022-02-22,10.59,-1.8536,4881507.0,51695159.129999995,0.5,-4533764.400000006,-1569379.9100000113,-13359926.550000012
2022-02-21,10.79,-0.9183,5211207.0,56228923.53,0.54,4059213.3000000045,-2995310.629999995,-11675163.239999995
