timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,11.47,-0.3475,45845186.0,525844283.42,0.63,-15762668.469999969,80147365.16000003,87062238.32000011
2022-03-18,11.51,2.5847,47055339.0,541606951.89,0.64,27606667.94999987,101397914.56999993,113755016.73999995
2022-03-17,11.22,1.5385,45811077.0,514000283.94000006,0.63,-1619722.2599999905,89564519.94000012,4177490.7400001287
2022-03-16,11.05,4.8387,46662444.0,515620006.2,0.64,87153617.80000001,107212084.8499999,-28827910.680000007
2022-03-15,10.54,-6.0606,40651460.0,428466388.4,0.55,-17230529.860000014,20978080.810000002,-133263746.9000001
2022-03-14,11.22,-3.5254,39723433.0,445696918.26,0.54,5487880.939999878,6914873.160000086,-94658595.73000002
2022-03-11,11.63,0.2586,37851164.0,440209037.3200001,0.52,15773273.320000172,12357102.170000017,-126741923.82999998
2022-03-10,11.6,2.3831,36589290.0,424435763.99999994,0.5,16027842.649999857,-85387029.20000017,-98190152.88
2022-03-09,11.33,-2.0743,36046595.0,408407921.3500001,0.49,919613.7600001097,-136039995.5299999,-223940300.4099999
2022-03-08,11.57,-3.0988,35219387.0,407488307.59,0.48,-31293737.50999993,-154241827.7100001,-165855460.6699999
2022-03-07,11.94,-2.3712,36748915.0,438782045.0999999,0.5,10930109.94999981,-101573468.8900001,-174466308.44999993
2022-03-04,12.23,-5.0466,34983805.0,427851935.1500001,0.48,-81970858.05000001,-139099026.0,-179361307.52999985
2022-03-03,12.88,-1.7544,39582515.0,509822793.2000001,0.54,-34625123.67999989,-12803123.679999828,-58148053.40999991
2022-03-02,13.11,0.0763,41529208.0,544447916.88,0.57,-17282218.420000076,-87900304.88,2637556.879999995
2022-03-01,13.1,2.4238,42880163.0,561730135.3000001,0.59,21374621.310000062,-11613632.9599998,59877696.19
2022-02-28,12.79,-1.2355,42248281.0,540355513.99,0.58,-26595447.160000086,-72892839.55999982,90663874.17000008
2022-02-25,12.95,2.2907,43779997.0,566950961.1500001,0.6,44325044.27000016,-40262281.52999985,92735667.95000017
2022-02-24,12.66,-3.5061,41281668.0,522625916.87999994,0.56,-109722304.88000005,-45344929.73000008,16347559.800000012
2022-02-23,13.12,3.3885,48197273.0,632348221.76,0.66,59004453.50000012,90537861.75999999,99326754.08000004
2022-02-22,12.69,-2.7586,45180754.0,573343768.2599999,0.62,-39904585.28999996,71491329.1499998,72260002.83999985
2022-02-21,13.05,1.0062,46992211.0,613248353.5499998,0.64,6035110.869999886,163556713.7299999,125833447.30999976
