timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,16.73,-1.3561,3423525.0,57275573.25,0.53,-37842348.03,7775612.769999996,24220270.75
2022-03-18,16.96,6.2657,5608368.0,95117921.28,0.86,28338600.0,38663389.2,63130859.88
2022-03-17,15.96,1.269,4184168.0,66779321.28,0.64,-8056912.640000001,13320429.359999992,30633436.92
2022-03-16,15.76,-4.7158,4748492.0,74836233.91999999,0.73,25834548.739999987,26546954.83999999,37652241.35999999
2022-03-15,16.54,0.486,2962617.0,49001685.18,0.45,-498275.30000000447,13689511.079999998,9859210.979999997
2022-03-14,16.46,4.5743,3007288.0,49499960.480000004,0.46,-6954571.599999994,16444657.980000004,11531324.180000007
2022-03-11,15.74,-7.4662,3586692.0,56454532.08,0.55,2995640.159999989,24467470.68,4616776.5
2022-03-10,17.01,10.0259,3142792.0,53458891.92000001,0.48,5169612.840000011,17313007.56000001,-7594767.959999993
2022-03-09,15.46,10.0356,3123498.0,48289279.08,0.48,12977104.979999997,11105286.520000003,-1825434.7199999988
2022-03-08,14.05,2.1818,2513322.0,35312174.1,0.38,2256871.6000000015,-3830300.1000000015,-12128182.459999993
2022-03-07,13.75,0.365,2404022.0,33055302.5,0.37,1068241.1000000015,-4913333.799999997,-13095829.300000004
2022-03-04,13.7,-4.7288,2334822.0,31987061.4,0.36,-4158822.960000001,-19850694.18,-26848818.779999994
2022-03-03,14.38,3.6023,2513622.0,36145884.36,0.38,-1038108.1999999955,-24907775.520000003,-33105492.14
2022-03-02,13.88,-1.5603,2678962.0,37183992.559999995,0.41,-1958481.640000008,-12930721.240000002,-48413518.37000001
2022-03-01,14.1,-1.7422,2776062.0,39142474.2,0.43,1173837.900000006,-8297882.359999992,-44581780.86
2022-02-28,14.35,4.1364,2645898.0,37968636.3,0.41,-13869119.280000001,-8182495.500000007,-98154757.44000001
2022-02-25,13.78,5.3517,3761811.0,51837755.58,0.58,-9215904.300000004,-6998124.599999994,-74251625.7
2022-02-24,13.08,-5.2174,4667711.0,61053659.88,0.72,10938946.080000006,-8197716.619999997,-68830940.62
2022-02-23,13.8,-3.8997,3631501.0,50114713.8,0.56,2674357.240000002,-35482797.13000001,-80726406.26
2022-02-22,14.36,2.8653,3303646.0,47440356.559999995,0.51,1289224.7599999905,-36283898.50000001,-61965764.16000002
2022-02-21,13.96,0.7215,3305955.0,46151131.800000004,0.51,-12684748.379999988,-89972261.94,-43844259.83999998
