timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,33.78,1.6551,74616937.0,2520560131.8599997,9.33,41017450.00999975,-16620169.140000343,-122959543.13999987
2022-03-18,33.23,-0.3299,74617595.0,2479542681.85,9.33,3084655.9499993324,-137489318.48000002,-310080153.3499999
2022-03-17,33.34,1.9572,74278885.0,2476458025.9000006,9.28,59652953.50000048,-136820511.05999804,-313929717.09999895
2022-03-16,32.7,1.774,73908412.0,2416805072.4,9.24,55289881.46999931,-217402244.0999999,-422602940.3999996
2022-03-15,32.13,-6.8696,73498761.0,2361515190.930001,9.19,-175665110.06999922,-252801759.20999908,-450953618.8499994
2022-03-14,34.5,-2.5148,73541458.0,2537180301.0,9.19,-79851699.3300004,-106339374.0,-279066302.25
2022-03-11,35.39,0.0848,73948347.0,2617032000.3300004,9.24,3753463.3700008392,-172590834.8699999,-136903637.74999952
2022-03-10,35.36,-0.3944,73904936.0,2613278536.9599996,9.24,-20928779.54000044,-177109206.04000044,-130772953.19000053
2022-03-09,35.5,1.8359,74203023.0,2634207316.5,9.27,19890366.360000134,-205200696.2999997,-164144499.0999999
2022-03-08,34.86,-0.712,74994749.0,2614316950.14,9.37,-29202724.860000134,-198151859.64000034,-152025289.98999977
2022-03-07,35.11,-6.7463,75292500.0,2643519675.0,9.41,-146103160.2000003,-172726928.25,-198493777.4899993
2022-03-04,37.65,-0.1326,74093568.0,2789622835.2000003,9.26,-764907.7999997139,35687197.12000036,44376672.720000744
2022-03-03,37.7,-1.8229,74015590.0,2790387743.0,9.25,-49020269.799999714,46336252.849999905,161940632.5999999
2022-03-02,38.4,0.2349,73942917.0,2839408012.7999997,9.24,26939203.019999504,41056197.19999981,211569822.2999997
2022-03-01,38.31,-0.3641,73413438.0,2812468809.78,9.18,-3777793.46999979,46126569.65000057,161422169.44000006
2022-02-28,38.45,3.7227,73244385.0,2816246603.25,9.15,62310965.17000008,-25766849.239999294,226262290.48999977
2022-02-25,37.07,0.1621,74290144.0,2753935638.08,9.29,9884147.929999828,8689475.600000381,153997373.1199999
2022-02-24,37.01,-2.1934,74143515.0,2744051490.15,9.27,-54300325.44999981,115604379.75,9957689.190000057
2022-02-23,37.84,1.2577,73952215.0,2798351815.6,9.24,32009575.470000267,170513625.0999999,66297009.78000021
2022-02-22,37.37,-3.4117,74025749.0,2766342240.1299996,9.25,-75671212.35999966,115295599.78999949,114636074.97999954
2022-02-21,38.69,3.56,73456021.0,2842013452.4899993,9.18,96767290.00999975,252029139.72999907,198479838.5899992
