timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,24.73,10.0089,58962927.0,1458153184.71,3.06,107637376.22999978,352436672.4100001,256084336.71000028
2022-03-18,22.48,9.9804,60076326.0,1350515808.4800003,3.12,158885086.51999998,213110406.01000023,137087682.53000045
2022-03-17,20.44,10.0108,58298959.0,1191630721.96,3.03,110329774.5,68666110.82999992,-22769222.819999933
2022-03-16,18.58,1.8082,58197037.0,1081300947.46,3.02,31396241.21000004,12386444.860000253,-103136430.37999988
2022-03-15,18.25,-5.4404,57529025.0,1049904706.25,2.99,-55811806.05000019,-77848405.54999971,-122489525.32999992
2022-03-14,19.3,-0.1552,57291011.0,1105716512.3000002,2.97,-31688890.1699996,-96352335.69999981,-73102558.97999978
2022-03-11,19.33,1.2572,58841459.0,1137405402.4699998,3.05,14440791.339999914,-76022723.48000002,294196.5199997425
2022-03-10,19.09,6.648,58824757.0,1122964611.1299999,3.05,54050108.53000009,-91435333.65000033,2580505.3799996376
2022-03-09,17.9,-3.504,59715894.0,1068914502.5999998,3.1,-58838609.19999993,-115522875.24000013,-73417645.12
2022-03-08,18.55,-3.886,60795316.0,1127753111.7999997,3.16,-74315736.20000029,-44641119.78000021,-30674449.160000324
2022-03-07,19.3,0.7833,62283360.0,1202068848.0,3.23,-11359277.94999981,23249776.72000003,3816859.2999999523
2022-03-04,19.15,0.6306,63364393.0,1213428125.9499998,3.29,-971818.8300004005,76316919.99999976,22525346.950000286
2022-03-03,19.03,1.0085,63815026.0,1214399944.7800002,3.31,29962566.940000296,94015839.02999997,34299368.96000028
2022-03-02,18.84,1.2359,62868226.0,1184437377.84,3.26,12043146.25999999,42105230.120000124,-6773067.060000181
2022-03-01,18.61,-0.3747,62998078.0,1172394231.58,3.27,-6424839.700000048,13966670.619999886,-13154076.77000022
2022-02-28,18.68,0.2684,63105946.0,1178819071.28,3.28,41707865.32999992,-19432917.420000076,-2485940.7200000286
2022-02-25,18.63,0.4313,61036565.0,1137111205.95,3.17,16727100.19999981,-53791573.049999475,-59666866.33000016
2022-02-24,18.55,-1.9038,60398065.0,1120384105.7500002,3.14,-21948041.96999955,-59716470.069999695,-98636243.46999955
2022-02-23,18.91,0.1589,60408892.0,1142332147.7199998,3.14,-16095413.240000248,-48878297.180000305,-67239631.16000032
2022-02-22,18.88,-1.7179,61357392.0,1158427560.96,3.19,-39824427.74000001,-27120747.390000105,-51591047.63999987
2022-02-21,19.21,1.1585,62376470.0,1198251988.7,3.24,7349209.7000005245,16946976.700000048,5271536.75
