timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,96.39,-1.6529,15874129.0,1530107294.31,2.95,-69531361.47000027,-444239744.8200002,-1024537893.4900002
2022-03-18,98.01,-0.3457,16321178.0,1599638655.7800002,3.03,-26822698.9199996,-457515796.85999966,-1039208729.9699998
2022-03-17,98.35,-0.2839,16537482.0,1626461354.7000003,3.07,-172089341.8299997,-484580117.3799999,-1045023121.5799999
2022-03-16,98.63,6.5809,18235331.0,1798550696.53,3.39,-6677332.690000296,-494647973.6200001,-909441814.28
2022-03-15,92.54,-2.5997,19507543.0,1805228029.2200003,3.62,-169119009.90999985,-676000606.1199994,-984293110.8699999
2022-03-14,95.01,-2.6138,20780413.0,1974347039.13,3.86,-82807413.50999999,-580298148.6700001,-880562459.3199997
2022-03-11,97.56,0.2981,21086044.0,2057154452.64,3.92,-53887019.43999982,-581692933.1099999,-790748785.2599995
2022-03-10,97.27,-1.078,21702904.0,2111041472.08,4.03,-182157198.07000017,-560443004.2000003,-755674214.4200001
2022-03-09,98.33,-2.3147,23321455.0,2293198670.15,4.33,-188029965.18999958,-414793840.65999985,-493473702.77
2022-03-08,100.66,1.5742,24649599.0,2481228635.3399997,4.58,-73416552.46000051,-308292504.7500005,-223427016.66000032
2022-03-07,99.1,-3.5523,25778458.0,2554645187.8,4.79,-84202197.94999981,-300264310.6499996,-149234452.86000013
2022-03-04,102.75,-2.0682,25682213.0,2638847385.75,4.77,-32637090.53000021,-209055852.14999962,-81710441.04999971
2022-03-03,104.92,-1.1774,25462109.0,2671484476.28,4.73,-36508034.52999973,-195231210.2199998,-23692163.71999979
2022-03-02,106.17,-1.7945,25506193.0,2707992510.81,4.74,-81528629.28000021,-78679862.11000013,33154365.80999899
2022-03-01,108.11,0.1482,25802619.0,2789521140.09,4.79,-65388358.35999966,84865488.09000015,125905059.46000004
2022-02-28,107.95,0.2321,26446591.0,2854909498.45,4.91,7006260.550000191,151029857.78999949,344112268.1699996
2022-02-25,107.7,-0.5081,26442927.0,2847903237.8999996,4.91,-18812448.60000038,127345411.0999999,369513465.0199995
2022-02-24,108.25,-0.5877,26482362.0,2866715686.5,4.92,80043313.57999992,171539046.5,300426169.1999998
2022-02-23,108.89,2.6973,25591628.0,2786672372.92,4.76,82016720.92000008,111834227.91999912,182421924.37000036
2022-02-22,106.03,-3.6354,25508400.0,2704655652.0,4.74,776011.3399996758,41039571.369999886,194205591.0
2022-02-21,110.03,-0.6949,24574022.0,2703879640.6600003,4.57,-16678186.13999939,193082410.3800001,213545443.66000032
