timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,19.58,5.3821,122014306.0,2389040111.4799995,9.8,81904879.63999987,122071844.8399992,25498117.9199996
2022-03-18,18.58,0.7046,124173048.0,2307135231.8399997,9.98,21607515.389999866,-4312930.019999981,-147191473.41000032
2022-03-17,18.45,1.0959,123876841.0,2285527716.45,9.95,25576524.94999981,83890914.19999981,-142086547.59000015
2022-03-16,18.25,3.3409,123832942.0,2259951191.5,9.95,84992107.93999958,60035780.53999996,-201283053.6199999
2022-03-15,17.66,-4.4372,123157366.0,2174959083.5600004,9.9,-92009183.07999945,-84719500.32999992,-308947061.15999985
2022-03-14,18.48,-2.8391,122671443.0,2266968266.64,9.86,-44479895.21999979,-96573726.92000008,-179833932.1800003
2022-03-11,19.02,4.2192,121527243.0,2311448161.8599997,9.76,109811359.60999966,-142878543.38999987,-130008629.36000013
2022-03-10,18.25,-0.1641,120637633.0,2201636802.25,9.69,1721391.2899999619,-225977461.78999996,-216878326.1500001
2022-03-09,18.28,-2.1937,120345482.0,2199915410.96,9.67,-59763172.930000305,-261318834.15999985,-313835495.0
2022-03-08,18.69,-4.203,120903081.0,2259678583.8900003,9.71,-103863409.6699996,-224227560.82999992,-275540983.75999975
2022-03-07,19.51,-2.2055,121145156.0,2363541993.56,9.73,-90784711.68999958,-83260205.26000023,-231826631.73999977
2022-03-04,19.95,1.0638,123023895.0,2454326705.2499995,9.88,26712441.20999956,12869914.029999733,-148546148.70000076
2022-03-03,19.74,-0.9036,122979446.0,2427614264.04,9.88,-33619981.07999992,9099135.639999866,-178314137.47999954
2022-03-02,19.92,-0.4995,123555936.0,2461234245.12,9.93,-22671899.60000038,-52516660.84000015,-187855809.12000036
2022-03-01,20.02,1.5728,124071236.0,2483906144.7200003,9.97,37103945.900000095,-51313422.92999983,-160668962.22999954
2022-02-28,19.71,0.2543,124140142.0,2446802198.82,9.97,5345407.6000003815,-148566426.47999954,-225531896.17999935
2022-02-25,19.66,0.3061,124183967.0,2441456791.22,9.98,22941662.819999695,-161416062.7300005,-284027155.9000006
2022-02-24,19.6,-3.4007,123393629.0,2418515128.4,9.91,-95235777.55999994,-187413273.1199994,-391295082.8499999
2022-02-23,20.29,-0.7824,123891124.0,2513750905.96,9.95,-21468661.690000057,-135339148.2800002,-236479620.94000053
2022-02-22,20.45,-2.1531,123971617.0,2535219567.65,9.96,-60149057.64999962,-109355539.29999971,-127522563.28999996
2022-02-21,20.9,-0.2387,124180317.0,2595368625.2999997,9.98,-7504228.650000572,-76965469.69999981,-90928590.06000042
