timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,39.44,0.3052,4483211.0,176817841.83999997,1.08,3015145.3199999332,41681745.94,48448570.30999997
2022-03-18,39.32,-0.7071,4420211.0,173802696.52000004,1.06,-3321807.0799999535,35076011.32000002,34996586.660000026
2022-03-17,39.6,3.3943,4472841.0,177124503.60000002,1.08,10803842.800000042,34800781.94000003,34937050.350000024
2022-03-16,38.3,4.5591,4342576.0,166320660.79999998,1.04,23610254.059999973,28929955.24999997,19547735.72
2022-03-15,36.63,-7.6399,3895998.0,142710406.74,0.94,7574310.840000033,18318356.820000008,-3585200.74999997
2022-03-14,39.66,-3.0081,3407365.0,135136095.89999998,0.82,-3590589.300000012,6766824.369999975,-9352325.219999999
2022-03-11,40.89,-0.7042,3392680.0,138726685.2,0.81,-3597036.4600000083,-79424.66000002623,-2226282.0
2022-03-10,41.18,3.7541,3456137.0,142323721.66,0.83,4933016.1099999845,136268.40999999642,1947866.6599999964
2022-03-09,39.69,-2.3376,3461595.0,137390705.55,0.83,12998655.63000001,-9382219.529999971,-4752092.550000012
2022-03-08,40.64,-2.143,3060828.0,124392049.92,0.73,-3977221.6099999994,-21903557.569999978,-221264.61999998987
2022-03-07,41.53,-5.1393,3091001.0,128369271.53,0.74,-10436838.330000013,-16119149.589999974,1729389.4400000125
2022-03-04,43.78,-0.6129,3170537.0,138806109.86,0.76,-3381343.3899999857,-2146857.339999974,8592363.530000001
2022-03-03,44.05,-2.8452,3227865.0,142187453.25,0.77,-4585471.829999983,1811598.25,14378337.099999994
2022-03-02,45.34,-1.5845,3237162.0,146772925.07999998,0.78,477317.5900000036,4630126.9799999595,17705147.23999998
2022-03-01,46.07,-1.3913,3175507.0,146295607.48999998,0.76,1807186.3700000048,21682292.949999988,18510805.979999974
2022-02-28,46.72,-0.8068,3092646.0,144488421.11999997,0.74,3535453.919999987,17848539.029999986,18607860.159999996
2022-02-25,47.1,2.8384,2992632.0,140952967.2,0.72,577112.1999999881,10739220.869999975,19629089.25
2022-02-24,45.8,-1.9272,3064975.0,140375855.0,0.73,-1766943.1000000238,12566738.849999994,25970092.10000001
2022-02-23,46.7,5.3463,3043743.0,142142798.10000002,0.73,17529483.560000032,13075020.26000002,17333859.300000012
2022-02-22,44.33,-1.4232,2811038.0,124613314.53999999,0.67,-2026567.549999997,-3171486.9700000137,-3162816.019999996
2022-02-21,44.97,-0.1332,2816097.0,126639882.08999999,0.67,-3573864.2400000244,759321.1300000101,-11139283.170000032
