timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,25.81,-2.5302,54910537.0,1417240959.9699998,0.26,-73692587.79000044,45710656.41999984,-129212463.83000016
2022-03-18,26.48,3.1153,56304137.0,1490933547.7600002,0.27,75427243.60000038,76008386.56000018,-155117481.43999982
2022-03-17,25.68,2.6789,55120962.0,1415506304.1599998,0.26,79074545.19999981,-16363594.5400002,-240767423.7400005
2022-03-16,25.01,3.6899,53435896.0,1336431758.96,0.25,59996293.75999975,-107835224.08000016,-323960286.65999985
2022-03-15,24.12,-5.9649,52920210.0,1276435465.2000003,0.25,-95094838.3499999,-213313340.39999986,-424789888.1799996
2022-03-14,25.65,-1.7241,53470967.0,1371530303.5500002,0.25,-43394857.64999962,-174923120.24999976,-305496384.47
2022-03-11,26.1,0.6556,54211692.0,1414925161.1999998,0.26,-16944737.500000477,-231125868.0,-321908449.8400004
2022-03-10,25.93,-0.0386,55220590.0,1431869898.7000003,0.26,-12397084.339999914,-224403829.1999998,-328695319.63999987
2022-03-09,25.94,-3.209,55677216.0,1444266983.0400002,0.26,-45481822.55999994,-216125062.5799997,-415493554.5999994
2022-03-08,26.8,-3.5971,55587642.0,1489748805.6000001,0.26,-56704618.19999981,-211476547.77999973,-396927909.11999965
2022-03-07,27.8,-3.0683,55627821.0,1546453423.8,0.26,-99597605.39999986,-130573264.22000027,-386675206.6400001
2022-03-04,28.68,-0.4858,57393690.0,1646051029.1999998,0.27,-10222698.700000286,-90782581.84000039,-316729189.5500002
2022-03-03,28.82,-0.3802,57469595.0,1656273727.9,0.27,-4118317.71999979,-104291490.44000006,-297671992.61999965
2022-03-02,28.93,-1.2291,57393434.0,1660392045.62,0.27,-40833307.75999999,-199368492.01999974,-278780489.5800004
2022-03-01,29.29,1.7721,58082122.0,1701225353.3799999,0.27,24198665.359999657,-185451361.3399999,-217700097.12000012
2022-02-28,28.78,-0.5185,58270559.0,1677026688.0200002,0.27,-59806923.01999998,-256101942.41999984,-256777122.37999988
2022-02-25,28.93,-0.0346,60035728.0,1736833611.0400002,0.28,-23731607.299999952,-225946607.7099998,-224070545.3599999
2022-02-24,28.94,-2.9836,60835011.0,1760565218.3400002,0.29,-99195319.29999948,-193380502.1799996,-47618649.82000017
2022-02-23,29.83,-0.4671,62345308.0,1859760537.6399996,0.29,-26916177.080000162,-79411997.56000066,118891848.35999942
2022-02-22,29.97,-0.6629,62952176.0,1886676714.7199998,0.3,-46451915.72000027,-32248735.78000021,136386941.16999984
2022-02-21,30.17,-1.2439,64074532.0,1933128630.44,0.3,-29651588.309999943,-675179.9600000381,218938304.24000025
