timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,5.19,1.1696,12673297.0,65774411.43000001,0.49,4602829.38000001,20996517.750000007,12979465.730000004
2022-03-18,5.13,0.9843,11924285.0,61171582.05,0.46,2571826.2499999925,14949301.009999998,22877155.46999999
2022-03-17,5.08,2.4194,11535385.0,58599755.800000004,0.45,-3340843.2399999946,13506494.460000008,19766287.620000005
2022-03-16,4.96,3.9832,12488024.0,61940599.04,0.48,11361684.619999997,12645055.240000002,27629571.639999993
2022-03-15,4.77,-6.1024,10603546.0,50578914.42,0.41,5801020.739999995,-6128795.6999999955,11647433.300000004
2022-03-14,5.08,-3.0534,8814546.0,44777893.68000001,0.34,-1444387.359999992,-8017052.019999996,532577.5200000033
2022-03-11,5.24,-0.9452,8821046.0,46222281.04,0.34,1129019.700000003,7927854.460000001,5945033.799999997
2022-03-10,5.29,-0.1887,8524246.0,45093261.339999996,0.33,-4202282.460000001,6259793.159999996,-804674.150000006
2022-03-09,5.3,1.5326,9301046.0,49295543.8,0.36,-7412166.32,14984516.399999991,8898350.0
2022-03-08,5.22,-4.2202,10863546.0,56707710.12,0.42,3912764.4199999943,17776229.0,27404274.97
2022-03-07,5.45,-4.8866,9687146.0,52794945.7,0.37,14500519.120000005,8549629.54,22279359.670000006
2022-03-04,5.73,-4.1806,6683146.0,38294426.58,0.26,-539041.6000000015,-1982820.6600000039,4263137.129999995
2022-03-03,5.98,0.0,6493891.0,38833468.18,0.25,4522440.779999994,-7064467.310000002,3540309.8400000036
2022-03-02,5.98,4.1812,5737630.0,34311027.400000006,0.22,-4620453.719999991,-6086166.399999991,-1245870.0599999875
2022-03-01,5.74,-1.3746,6782488.0,38931481.12,0.26,-5313835.040000007,9628045.969999999,1458241.9299999923
2022-02-28,5.82,1.5707,7602288.0,44245316.160000004,0.29,3968068.920000002,13729730.130000006,-9988284.030000001
2022-02-25,5.73,0.703,7029188.0,40277247.24,0.27,-5620688.25,6245957.789999999,-23346135.660000004
2022-02-24,5.69,-3.5593,8066421.0,45897935.49,0.31,5500741.690000005,10604777.150000006,-9550840.969999991
2022-02-23,5.9,-2.4793,6846982.0,40397193.8,0.26,11093758.649999999,4840296.340000004,-10936150.600000009
2022-02-22,6.05,-2.5765,4843543.0,29303435.15,0.18,-1212150.879999999,-8169804.040000007,-38621387.88999999
2022-02-21,6.21,0.9756,4913943.0,30515586.029999997,0.19,-3515703.4200000055,-23718014.160000008,-34245223.650000006
