timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,17.77,-1.0028,560501279.0,9960107727.83,6.59,-50409588.8200016,714875963.2299995,424242950.0699997
2022-03-18,17.95,1.298,557688987.0,10010517316.650002,6.56,150000629.41000175,461735408.0600014,35563788.21000099
2022-03-17,17.72,3.2033,556462567.0,9860516687.24,6.55,794242754.7999992,707920872.7399998,-415326085.3100014
2022-03-16,17.17,4.0606,528029932.0,9066273932.44,6.21,336970085.44000053,77763978.24000168,-1266745316.0599995
2022-03-15,16.5,-5.2813,529048718.0,8729303847.0,6.22,-515927917.6000004,-574437520.5200005,-1710856087.6800003
2022-03-14,17.42,-2.5182,530725130.0,9245231764.6,6.24,-303550143.9899998,-290633013.16000175,-1057139940.2699986
2022-03-11,17.87,3.7145,534347057.0,9548781908.59,6.29,396186094.09000015,-426171619.8500023,-1071253764.1100006
2022-03-10,17.23,0.8782,531201150.0,9152595814.5,6.25,164085860.30000114,-1123246958.0500011,-1498480476.6600037
2022-03-09,17.08,-3.2843,526259365.0,8988509954.199999,6.19,-315231413.3200016,-1344509294.3000011,-1943353936.3000011
2022-03-08,17.66,-2.7533,526825672.0,9303741367.52,6.2,-232123410.24000168,-1136418567.1599998,-1387387547.4799976
2022-03-07,18.16,-4.0676,525102686.0,9535864777.760002,6.18,-439088750.6800003,-766506927.1099968,-1401401915.3999977
2022-03-04,18.93,-2.5733,526938908.0,9974953528.440002,6.2,-300889244.1099987,-645082144.2599983,-1104593632.9400005
2022-03-03,19.43,-0.359,528864785.0,10275842772.550001,6.22,-57176475.949998856,-375233518.6100025,-730925048.9499989
2022-03-02,19.5,-1.2158,529898423.0,10333019248.5,6.23,-107140686.1800003,-598844642.0,-762334864.7999992
2022-03-01,19.74,0.6629,528883482.0,10440159934.68,6.22,137788229.81000137,-250968980.3199978,-637033594.3199997
2022-02-28,19.61,-2.7764,525363167.0,10302371704.869999,6.18,-317663967.83000183,-634894988.2900009,-524700321.8899994
2022-02-25,20.17,-0.0991,526526310.0,10620035672.7,6.19,-31040618.4600029,-459511488.6800022,-467999440.2599964
2022-02-24,20.19,-2.6988,527542164.0,10651076291.160004,6.21,-280787599.33999634,-355691530.33999634,-736394947.8299923
2022-02-23,20.75,1.8155,526836814.0,10931863890.5,6.2,240734975.5000019,-163490222.79999924,-504683376.7100029
2022-02-22,20.38,-1.9249,524589250.0,10691128914.999998,6.17,-246137778.16000175,-386064614.0000019,-807880907.5000019
2022-02-21,20.78,-0.5266,526336222.0,10937266693.16,6.19,-142280468.22000313,110194666.40000153,-329831242.7799988
