timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,28.56,-0.6609,89905857.0,2567711275.9199996,9.47,-31574499.0800004,-12938804.53000021,-334580470.98
2022-03-18,28.75,-0.519,90409940.0,2599285775.0,9.52,-31207830.999999523,-40034995.50000048,-414076074.1199999
2022-03-17,28.9,10.0114,91020540.0,2630493605.9999995,9.59,238633512.56999922,-40671452.40000057,-331791235.230001
2022-03-16,26.27,2.1781,91049109.0,2391860093.4299994,9.59,36635870.519999504,-339348098.59000015,-619084676.5799999
2022-03-15,25.71,-8.0143,91607321.0,2355224222.91,9.65,-225425857.54000044,-431419028.09000015,-665706721.5099998
2022-03-14,27.95,-2.5793,92330951.0,2580650080.4500003,9.72,-58670690.049999714,-321641666.44999933,-410635990.25
2022-03-11,28.69,-1.6118,91994450.0,2639320770.5,9.69,-31844287.900000095,-374041078.62000036,-575400972.7300005
2022-03-10,29.16,-0.3418,91603740.0,2671165058.4,9.65,-60043133.61999941,-291119782.82999897,-399134668.5
2022-03-09,29.26,-2.7907,93342727.0,2731208192.0199995,9.83,-55435058.980000496,-279736577.9899998,-477699049.96000004
2022-03-08,30.1,-3.8031,92579510.0,2786643251.0,9.75,-115648495.89999962,-234287693.4199996,-463914068.02
2022-03-07,31.29,-3.6638,92754610.0,2902291746.8999996,9.77,-111070102.22000074,-88994323.80000067,-393552781.13999987
2022-03-04,32.48,0.3398,92775919.0,3013361849.1200004,9.77,51077007.8900013,-201359894.11000013,-257090043.75999928
2022-03-03,32.37,-2.1759,91513279.0,2962284841.229999,9.64,-48659928.78000021,-108014885.67000103,-232451184.8699999
2022-03-02,33.09,-0.6008,90992589.0,3010944770.0099993,9.58,-9986174.410000324,-197962471.97000027,-264111392.2800007
2022-03-01,33.29,0.0601,90745898.0,3020930944.4199996,9.56,29644873.719999313,-229626374.60000038,-92991963.0800004
2022-02-28,33.27,-6.0435,89909410.0,2991286070.7000003,9.47,-223435672.5300002,-304558457.3399992,-78262940.22999907
2022-02-25,35.41,4.0858,90785703.0,3214721743.2300005,9.56,144422016.3300004,-55730149.64999914,-3537152.3700003624
2022-02-24,34.02,-4.196,90249845.0,3070299726.9,9.5,-138607515.07999945,-124436299.19999886,9482043.05000019
2022-02-23,35.51,-1.2788,90366298.0,3208907241.9799995,9.52,-41650077.04000044,-66148920.31000042,-68870983.27999973
2022-02-22,35.97,-1.0726,90368566.0,3250557319.02,9.52,-45287209.019999504,136634411.51999998,48127755.5
2022-02-21,36.36,0.9439,90644789.0,3295844528.0399995,9.55,25392635.159999847,226295517.11000013,83965339.71999931
