timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,22.14,0.2263,119014134.0,2634972926.7599998,1.69,-8506248.430000305,133634033.20999956,-105571467.24000025
2022-03-18,22.09,-0.7191,119668591.0,2643479175.19,1.7,-3724186.809999943,75909696.78999996,-601262899.48
2022-03-17,22.25,2.1111,118975432.0,2647203362.0,1.69,36661324.11000013,61534259.19999933,-443364494.13999987
2022-03-16,21.79,6.4485,119804591.0,2610542037.89,1.7,193049612.5300002,276311632.99000025,-687568788.1599998
2022-03-15,20.47,-2.7553,118099288.0,2417492425.3599997,1.67,-83846468.19000053,-13900786.160000801,-1203056012.77
2022-03-14,21.05,-1.1737,118828451.0,2501338893.55,1.68,-66230584.85000038,-239205500.4499998,-1149032190.17
2022-03-11,21.3,1.0916,120543168.0,2567569478.4000006,1.71,-18099624.39999962,-677172596.2699995,-1101514625.0999994
2022-03-10,21.07,9.3409,122718040.0,2585669102.8,1.74,251438697.90000057,-504898753.3399997,-1071244832.6999998
2022-03-09,19.27,-4.9803,121132870.0,2334230404.8999996,1.72,-97162806.62000084,-963880421.1500001,-1341886652.38
2022-03-08,20.28,-3.4286,119891184.0,2431393211.5200005,1.7,-309151182.47999954,-1189155226.6099992,-1346095598.3999996
2022-03-07,21.0,-6.2081,130502114.0,2740544394.0,1.85,-504197680.6700001,-909826689.7200003,-1008009523.2399998
2022-03-04,22.39,4.0911,144919253.0,3244742074.67,2.05,154174218.5300002,-424342028.8299999,-335205149.8300004
2022-03-03,21.51,-5.0331,143680514.0,3090567856.14,2.04,-207542969.90999985,-566346079.3600001,-402511544.5
2022-03-02,22.65,-8.6325,145611957.0,3298110826.0499997,2.06,-322437612.0799999,-378006231.23,-219491130.35000038
2022-03-01,24.79,-0.4018,146048747.0,3620548438.1299996,2.07,-29822645.59000063,-156940371.79000044,74341543.12999916
2022-02-28,24.89,-1.3476,146660148.0,3650371083.7200003,2.08,-18713019.779999733,-98182833.5199995,77716373.92000008
2022-02-25,25.23,-0.1583,145425450.0,3669084103.5,2.06,12170168.0,89136878.99999952,124163702.29999924
2022-02-24,25.27,-2.2059,144713650.0,3656913935.5,2.05,-19203121.779999733,163834534.86000013,79126764.50000048
2022-02-23,25.84,-3.003,142264592.0,3676117057.2799997,2.02,-101371752.64000034,158515100.87999964,312234779.0299988
2022-02-22,26.64,0.0751,141797628.0,3777488809.92,2.01,28934892.680000305,231281914.9199996,437436857.230001
2022-02-21,26.62,2.4634,140817202.0,3748553917.24,2.0,168606692.7399993,175899207.43999958,361010386.8399997
