timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,171.5,0.1752,17410370.0,2985878455.0,24.38,1508071.0000004768,250636615.02999973,287986607.5
2022-03-18,171.2,2.515,17432070.0,2984370383.9999995,24.41,78274793.99999952,202695320.74999952,101789067.64999914
2022-03-17,167.0,4.4403,17401770.0,2906095590.0,24.37,131072664.0,173467910.0,-92778802.5
2022-03-16,159.9,2.7965,17354740.0,2775022926.0000005,24.3,90232881.44999981,167535587.05000067,-566401970.2799993
2022-03-15,155.55,-2.176,17259981.0,2684790044.5500007,24.17,-50451795.4199996,39096171.910000324,-688306155.4499993
2022-03-14,159.01,-1.8154,17201697.0,2735241839.9700003,24.09,-46433223.27999973,37349992.47000027,-666794649.6299992
2022-03-11,161.95,1.2188,17176135.0,2781675063.25,24.05,49047383.25,-100906253.0999999,-585074120.0500002
2022-03-10,160.0,3.9163,17078923.0,2732627680.0,23.92,125140341.05000019,-266246712.5,-654696989.75
2022-03-09,153.97,-1.6292,16935035.0,2607487338.95,23.71,-38206533.690000534,-733937557.3299999,-935349248.0500002
2022-03-08,156.52,-2.4798,16903232.0,2645693872.6400003,23.67,-52197974.85999966,-727402327.3599997,-826404006.1399994
2022-03-07,160.5,-6.2117,16809295.0,2697891847.5,23.54,-184689468.8499999,-704144642.0999994,-892641112.5
2022-03-04,171.13,-3.5887,16844395.0,2882581316.35,23.59,-116293076.1500001,-484167866.9500003,-706700902.1499996
2022-03-03,177.5,-9.9716,16895067.0,2998874392.5,23.66,-342550503.77999973,-388450277.25,-675729597.4800005
2022-03-02,197.16,-1.42,16947783.0,3341424896.2799997,23.73,-31671303.720000267,-201411690.72000027,-420382591.4699993
2022-03-01,200.0,-0.7937,16865481.0,3373096200.0,23.62,-28940289.599999428,-99001678.77999973,-366942657.0
2022-02-28,201.6,0.8504,16875181.0,3402036489.5999994,23.63,35287306.29999924,-188496470.40000057,-206775954.90000057
2022-02-25,199.9,-0.1748,16842167.0,3366749183.3,23.58,-20575486.44999981,-222533035.19999933,-388964536.6999998
2022-02-24,200.25,-3.9568,16915479.0,3387324669.75,23.69,-155511917.25,-287279320.2300005,-482074410.3199997
2022-02-23,208.5,2.2109,16992022.0,3542836587.0,23.79,70738708.22000027,-218970900.74999905,-170631405.04999924
2022-02-22,203.99,-2.8619,17020922.0,3472097878.7799997,23.83,-118435081.22000027,-267940978.22000027,-277795614.02000046
2022-02-21,210.0,-0.0476,17097776.0,3590532960.0,23.94,1250741.5000004768,-18279484.5,-57402539.88999987
