timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,13.97,6.7227,142704127.0,1993576654.1900003,7.52,87981591.27999997,75601968.63000059,-71356343.1099999
2022-03-18,13.09,-2.2405,145576399.0,1905595062.9100003,7.67,-47738123.69999981,-108987086.69999933,-220260186.69000006
2022-03-17,13.39,2.6054,145879999.0,1953333186.61,7.69,52991299.2099998,-102359950.78999972,-160809885.3900001
2022-03-16,13.05,-1.5837,145620068.0,1900341887.4000006,7.67,62839177.50000095,-149178924.39999938,-385043231.21999884
2022-03-15,13.26,-5.4882,138574865.0,1837502709.8999996,7.3,-80471975.66000032,-211632188.4300003,-515839806.90000105
2022-03-14,14.03,-7.2703,136705252.0,1917974685.56,7.2,-96607464.04999995,-146958311.7400005,-319200352.46999884
2022-03-11,15.13,-2.0712,133151497.0,2014582149.61,7.02,-41110987.78999972,-111273099.99000025,-248252596.9700005
2022-03-10,15.45,0.3247,133054572.0,2055693137.3999996,7.01,6172325.599999666,-58449934.60000038,-226377092.8000002
2022-03-09,15.4,1.2492,133085767.0,2049520811.8,7.01,385913.4700000286,-235864306.81999946,-299166074.95999885
2022-03-08,15.21,-0.5882,134722873.0,2049134898.33,7.1,-15798098.970000505,-304207618.47000074,-313092802.7100005
2022-03-07,15.3,-5.2632,134962941.0,2064932997.3000004,7.11,-60922252.299999714,-172242040.72999835,-306935857.65000033
2022-03-04,16.15,0.9375,131631904.0,2125855249.6000001,6.94,11712177.600000143,-136979496.98000026,-191528134.70000052
2022-03-03,16.0,-7.0308,132133942.0,2114143072.0,6.96,-171242046.6199994,-167927158.1999998,-235681304.04000092
2022-03-02,17.21,-2.2159,132794022.0,2285385118.6199994,7.0,-67957398.18000126,-63301768.13999939,-32604707.620000362
2022-03-01,17.6,4.6996,133712643.0,2353342516.8000007,7.04,116167478.77000189,-8885184.239999771,149118554.14000034
2022-02-28,16.81,-1.9253,133085963.0,2237175038.029999,7.01,-25659708.55000162,-134693816.92000198,147001959.18999863
2022-02-25,17.14,-0.9249,132020697.0,2262834746.5800004,6.96,-19235483.61999941,-54548637.72000027,170157307.2800007
2022-02-24,17.3,-3.2438,131911574.0,2282070230.2,6.95,-66616656.55999899,-67754145.8400011,7356433.150000095
2022-02-23,17.88,-0.1675,131358327.0,2348686886.759999,6.92,-13540814.28000164,30697060.519999027,101409001.55999899
2022-02-22,17.91,0.3361,131894344.0,2362227701.0400004,6.95,-9641153.910000324,158003738.3800001,257342082.93000054
2022-02-21,17.85,3.8394,132877807.0,2371868854.950001,7.0,54485470.650000095,281695776.1100006,92647551.50000048
